airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price
Jet Airways,6/6/2019,Delhi,Cochin,19:45:00,4:25:00,520,1,In-flight meal not included,10262
Air India,3/18/2019,Banglore,New Delhi,17:25:00,10:35:00,1030,2,No Info,12568
Air India,3/24/2019,Kolkata,Banglore,9:50:00,21:05:00,675,1,No Info,7795
Jet Airways,3/21/2019,Delhi,Cochin,22:00:00,4:25:00,385,1,No Info,12242
Indigo,6/21/2019,Kolkata,Banglore,14:25:00,16:55:00,150,0,No Info,5224
Jet Airways,5/1/2019,Banglore,Delhi,17:45:00,20:45:00,180,0,In-flight meal not included,4030
Indigo,6/18/2019,Chennai,Kolkata,14:45:00,17:05:00,140,0,No Info,3597
Goair,5/15/2019,Delhi,Cochin,7:00:00,12:55:00,355,1,No Info,7682
Multiple Carriers,6/9/2019,Delhi,Cochin,9:45:00,22:30:00,765,1,No Info,9646
Indigo,3/6/2019,Delhi,Cochin,7:30:00,15:30:00,480,1,No Info,14871
Multiple Carriers,6/27/2019,Delhi,Cochin,10:00:00,19:15:00,555,1,No Info,14848
Indigo,6/27/2019,Delhi,Cochin,10:35:00,1:30:00,895,1,No Info,5684
Air Asia,3/9/2019,Kolkata,Banglore,10:20:00,12:55:00,155,0,No Info,4384
Vistara,3/27/2019,Chennai,Kolkata,7:05:00,9:20:00,135,0,No Info,3739
Air Asia,3/1/2019,Banglore,New Delhi,5:50:00,8:40:00,170,0,No Info,10715
Indigo,3/9/2019,Banglore,New Delhi,7:10:00,10:05:00,175,0,No Info,7303
Goair,3/27/2019,Delhi,Cochin,10:25:00,19:20:00,535,1,No Info,5281
Air Asia,3/15/2019,Kolkata,Banglore,10:20:00,12:55:00,155,0,No Info,4384
Spicejet,6/6/2019,Mumbai,Hyderabad,5:45:00,7:15:00,90,0,No check-in baggage included,2647
Multiple Carriers,3/6/2019,Delhi,Cochin,13:00:00,1:35:00,755,1,In-flight meal not included,15136
Jet Airways,6/9/2019,Delhi,Cochin,15:00:00,4:25:00,805,1,In-flight meal not included,10262
Goair,4/21/2019,Delhi,Cochin,7:00:00,12:55:00,355,1,No Info,6591
Multiple Carriers,5/21/2019,Delhi,Cochin,10:00:00,19:00:00,540,1,No Info,10197
Vistara,6/1/2019,Delhi,Cochin,14:40:00,17:50:00,190,0,No Info,6741
Air India,3/1/2019,Banglore,New Delhi,8:50:00,10:35:00,1545,2,No Info,31783
Jet Airways,4/15/2019,Delhi,Cochin,11:00:00,14:15:00,195,0,In-flight meal not included,5443
Multiple Carriers,3/27/2019,Delhi,Cochin,11:40:00,19:15:00,455,1,No Info,6953
Jet Airways,3/24/2019,Kolkata,Banglore,18:55:00,18:10:00,1395,1,No Info,14231
Vistara,5/15/2019,Kolkata,Banglore,7:10:00,18:50:00,700,1,No Info,9345
Jet Airways,3/6/2019,Delhi,Cochin,7:05:00,4:25:00,1280,1,No Info,17234
Jet Airways,6/15/2019,Mumbai,Hyderabad,2:55:00,4:20:00,85,0,No Info,5678
Jet Airways,4/6/2019,Banglore,Delhi,11:10:00,14:05:00,175,0,No Info,7229
Air India,3/6/2019,Delhi,Cochin,5:55:00,19:15:00,800,2,No Info,13748
Multiple Carriers,6/15/2019,Delhi,Cochin,10:20:00,19:15:00,535,1,No Info,9526
Jet Airways,3/9/2019,Delhi,Cochin,8:00:00,4:25:00,1225,1,No Info,17549
Vistara,5/15/2019,Kolkata,Banglore,7:10:00,20:20:00,790,1,No Info,8610
Indigo,6/9/2019,Delhi,Cochin,9:15:00,21:00:00,705,1,No Info,6838
Jet Airways,5/21/2019,Kolkata,Banglore,6:30:00,12:00:00,330,1,In-flight meal not included,9663
Multiple Carriers,6/1/2019,Delhi,Cochin,13:00:00,21:00:00,480,1,No Info,7933
Jet Airways,3/21/2019,Delhi,Cochin,17:30:00,18:50:00,1520,1,In-flight meal not included,5963
Jet Airways,6/24/2019,Delhi,Cochin,15:00:00,4:25:00,805,1,In-flight meal not included,10262
Indigo,3/27/2019,Kolkata,Banglore,9:35:00,12:20:00,165,0,No Info,4148
Jet Airways,3/12/2019,Banglore,New Delhi,20:35:00,12:25:00,950,1,In-flight meal not included,11087
Jet Airways,5/21/2019,Mumbai,Hyderabad,19:35:00,21:05:00,90,0,In-flight meal not included,3210
Air India,3/12/2019,Mumbai,Hyderabad,19:40:00,9:10:00,810,1,No Info,10208
Jet Airways,4/3/2019,Banglore,Delhi,11:10:00,14:05:00,175,0,No Info,7229
Jet Airways,5/27/2019,Banglore,Delhi,15:15:00,18:10:00,175,0,In-flight meal not included,3502
Indigo,6/6/2019,Kolkata,Banglore,19:35:00,23:15:00,220,1,No Info,6116
Air India,3/18/2019,Banglore,New Delhi,13:20:00,16:10:00,170,0,No Info,4441
Air India,3/21/2019,Delhi,Cochin,12:55:00,19:15:00,1820,2,No Info,11228
Jet Airways,6/15/2019,Delhi,Cochin,11:00:00,14:15:00,195,0,No Info,9564
Jet Airways,5/18/2019,Kolkata,Banglore,16:30:00,18:15:00,1545,1,In-flight meal not included,10844
Air India,5/27/2019,Delhi,Cochin,10:55:00,19:15:00,500,2,No Info,13223
Jet Airways,6/9/2019,Delhi,Cochin,15:00:00,12:35:00,1295,1,In-flight meal not included,10262
Multiple Carriers,3/27/2019,Delhi,Cochin,14:35:00,22:20:00,465,1,In-flight meal not included,5883
Jet Airways,5/18/2019,Delhi,Cochin,10:00:00,4:25:00,1105,1,In-flight meal not included,12373
Jet Airways,5/12/2019,Kolkata,Banglore,9:35:00,14:25:00,1730,1,No Info,13067
Air India,6/9/2019,Kolkata,Banglore,5:50:00,8:55:00,1625,2,No Info,12723
Jet Airways,5/27/2019,Delhi,Cochin,20:00:00,4:25:00,505,2,In-flight meal not included,15318
Jet Airways,5/21/2019,Delhi,Cochin,18:15:00,19:00:00,1485,1,No Info,16079
Indigo,4/15/2019,Banglore,Delhi,8:30:00,11:20:00,170,0,No Info,4823
Air India,6/3/2019,Delhi,Cochin,10:00:00,19:15:00,555,1,No Info,10979
Jet Airways,3/6/2019,Delhi,Cochin,23:05:00,4:25:00,320,1,No Info,15764
Jet Airways,6/24/2019,Delhi,Cochin,2:15:00,19:00:00,1005,1,In-flight meal not included,10262
Jet Airways,4/1/2019,Delhi,Cochin,16:00:00,12:35:00,1235,1,In-flight meal not included,5406
Jet Airways,3/6/2019,Delhi,Cochin,9:00:00,18:50:00,590,1,In-flight meal not included,15400
Jet Airways,3/27/2019,Delhi,Cochin,5:25:00,18:50:00,805,2,In-flight meal not included,9254
Jet Airways,6/9/2019,Kolkata,Banglore,9:35:00,21:05:00,690,1,No Info,14676
Jet Airways,5/21/2019,Kolkata,Banglore,21:10:00,22:35:00,1525,1,In-flight meal not included,10844
Multiple Carriers,3/21/2019,Delhi,Cochin,10:45:00,19:15:00,510,1,No Info,7154
Jet Airways,5/1/2019,Kolkata,Banglore,17:00:00,23:35:00,395,1,No Info,13067
Air India,3/24/2019,Kolkata,Banglore,20:30:00,23:15:00,1605,1,No Info,10808
Air India,5/9/2019,Delhi,Cochin,12:30:00,9:25:00,1255,1,No Info,7480
Spicejet,4/9/2019,Banglore,Delhi,9:30:00,12:20:00,170,0,No Info,4423
Jet Airways,5/6/2019,Delhi,Cochin,13:00:00,4:25:00,925,1,No Info,15554
Jet Airways,6/1/2019,Delhi,Cochin,17:30:00,19:00:00,1530,1,No Info,14714
Indigo,6/1/2019,Delhi,Cochin,15:00:00,1:30:00,630,1,No Info,6628
Goair,4/12/2019,Banglore,Delhi,20:55:00,23:40:00,165,0,No Info,6722
Jet Airways,5/9/2019,Delhi,Cochin,7:05:00,12:35:00,330,1,In-flight meal not included,12373
Jet Airways,6/18/2019,Banglore,Delhi,7:10:00,10:10:00,180,0,In-flight meal not included,5769
Jet Airways,6/12/2019,Delhi,Cochin,14:00:00,12:35:00,1355,1,In-flight meal not included,10262
Jet Airways,5/24/2019,Banglore,Delhi,17:45:00,20:45:00,180,0,In-flight meal not included,6144
Multiple Carriers,5/27/2019,Delhi,Cochin,8:30:00,19:15:00,645,1,No Info,9149
Jet Airways,6/27/2019,Delhi,Cochin,15:00:00,12:35:00,1295,1,In-flight meal not included,10262
Air India,4/1/2019,Delhi,Cochin,20:40:00,9:25:00,765,1,No Info,5117
Jet Airways,3/3/2019,Delhi,Cochin,9:00:00,18:50:00,590,1,In-flight meal not included,15400
Vistara,3/24/2019,Kolkata,Banglore,7:10:00,9:10:00,1560,1,No Info,11682
Jet Airways,5/12/2019,Delhi,Cochin,11:00:00,14:15:00,195,0,In-flight meal not included,7202
Indigo,6/27/2019,Chennai,Kolkata,7:55:00,10:15:00,140,0,No Info,3850
Indigo,5/9/2019,Banglore,Delhi,6:05:00,8:50:00,165,0,No Info,4077
Spicejet,6/6/2019,Banglore,Delhi,21:10:00,0:05:00,175,0,No check-in baggage included,3257
Indigo,3/15/2019,Banglore,New Delhi,21:20:00,0:15:00,175,0,No Info,8033
Indigo,3/9/2019,Delhi,Cochin,6:40:00,21:00:00,860,1,No Info,12351
Indigo,6/9/2019,Kolkata,Banglore,15:10:00,20:30:00,320,1,No Info,7095
Multiple Carriers,6/1/2019,Delhi,Cochin,8:30:00,19:15:00,645,1,No Info,8937
Jet Airways,5/27/2019,Delhi,Cochin,22:50:00,19:00:00,1210,1,In-flight meal not included,12898
Jet Airways,3/15/2019,Banglore,New Delhi,11:40:00,18:25:00,405,1,In-flight meal not included,9134
Jet Airways,4/18/2019,Delhi,Cochin,11:00:00,14:15:00,195,0,In-flight meal not included,5443
Spicejet,6/3/2019,Kolkata,Banglore,22:20:00,0:40:00,140,0,No Info,3873
Indigo,3/9/2019,Chennai,Kolkata,13:20:00,15:35:00,135,0,No Info,6297
Jet Airways,6/12/2019,Banglore,Delhi,8:20:00,11:20:00,180,0,In-flight meal not included,5769
Vistara,5/1/2019,Kolkata,Banglore,7:10:00,9:05:00,1555,1,No Info,8452
Jet Airways,6/12/2019,Delhi,Cochin,14:00:00,19:00:00,300,1,In-flight meal not included,10262
Multiple Carriers,6/24/2019,Delhi,Cochin,17:00:00,1:30:00,510,1,No Info,7198
Jet Airways,5/21/2019,Kolkata,Banglore,8:25:00,8:15:00,1430,1,In-flight meal not included,8586
Vistara,3/18/2019,Banglore,New Delhi,21:10:00,0:05:00,175,0,No Info,11598
Air Asia,6/24/2019,Kolkata,Banglore,19:55:00,22:25:00,150,0,No Info,3807
Spicejet,4/1/2019,Kolkata,Banglore,8:35:00,17:15:00,520,1,No Info,6013
Indigo,3/6/2019,Delhi,Cochin,15:00:00,1:35:00,635,1,No Info,14871
Indigo,3/27/2019,Delhi,Cochin,7:45:00,13:40:00,355,1,No Info,4832
Air India,6/3/2019,Delhi,Cochin,17:20:00,9:25:00,965,1,No Info,7480
Jet Airways,6/15/2019,Banglore,Delhi,17:45:00,20:45:00,180,0,No Info,8016
Jet Airways,5/21/2019,Delhi,Cochin,9:35:00,12:35:00,1620,2,No Info,13559
Multiple Carriers,5/27/2019,Delhi,Cochin,18:00:00,1:30:00,450,1,No Info,7198
Multiple Carriers,3/6/2019,Delhi,Cochin,8:55:00,15:30:00,395,1,No Info,15147
Indigo,6/9/2019,Kolkata,Banglore,17:15:00,19:50:00,155,0,No Info,4804
Jet Airways,5/24/2019,Kolkata,Banglore,20:00:00,10:05:00,845,1,In-flight meal not included,8586
Jet Airways,6/6/2019,Kolkata,Banglore,20:00:00,8:15:00,735,1,No Info,14571
Jet Airways,6/6/2019,Delhi,Cochin,22:50:00,19:00:00,1210,1,In-flight meal not included,10262
Indigo,6/15/2019,Delhi,Cochin,7:35:00,22:30:00,895,1,No Info,6442
Multiple Carriers,3/6/2019,Delhi,Cochin,7:30:00,19:15:00,705,1,No Info,15353
Vistara,5/6/2019,Kolkata,Banglore,17:00:00,9:05:00,965,1,No Info,8137
Indigo,5/6/2019,Kolkata,Banglore,9:20:00,14:15:00,295,1,No Info,11319
Air Asia,4/12/2019,Banglore,Delhi,11:10:00,13:55:00,165,0,No Info,4483
Jet Airways,6/3/2019,Delhi,Cochin,18:15:00,4:25:00,610,1,No Info,14714
Air India,3/12/2019,Mumbai,Hyderabad,16:50:00,12:25:00,1175,3,No Info,14260
Indigo,3/27/2019,Mumbai,Hyderabad,21:20:00,22:45:00,85,0,No Info,2227
Jet Airways,6/9/2019,Delhi,Cochin,18:25:00,12:35:00,1090,2,No Info,14237
Multiple Carriers,6/6/2019,Delhi,Cochin,14:55:00,22:30:00,455,1,No Info,7038
Jet Airways,5/6/2019,Kolkata,Banglore,14:05:00,9:20:00,1155,1,In-flight meal not included,9663
Goair,5/1/2019,Banglore,Delhi,20:55:00,23:40:00,165,0,No Info,3898
Jet Airways,3/21/2019,Delhi,Cochin,13:00:00,18:50:00,350,1,No Info,12347
Air India,5/24/2019,Kolkata,Banglore,5:50:00,23:15:00,1045,2,No Info,12723
Vistara,4/3/2019,Banglore,Delhi,9:45:00,12:35:00,170,0,No Info,5403
Multiple Carriers,6/1/2019,Delhi,Cochin,13:00:00,21:00:00,480,1,No Info,13587
Indigo,3/9/2019,Delhi,Cochin,2:00:00,7:45:00,345,1,No Info,7060
Jet Airways,5/1/2019,Kolkata,Banglore,21:10:00,9:20:00,730,1,In-flight meal not included,10844
Vistara,4/18/2019,Banglore,Delhi,17:00:00,19:35:00,155,0,No Info,5613
Air India,6/27/2019,Delhi,Cochin,13:00:00,19:15:00,375,1,No Info,8372
Jet Airways,3/27/2019,Mumbai,Hyderabad,15:50:00,17:20:00,90,0,No Info,5678
Indigo,5/15/2019,Delhi,Cochin,9:15:00,21:00:00,705,1,No Info,7503
Indigo,5/21/2019,Kolkata,Banglore,15:30:00,18:05:00,155,0,No Info,4804
Spicejet,6/6/2019,Kolkata,Banglore,22:20:00,0:40:00,140,0,No check-in baggage included,3841
Jet Airways,6/12/2019,Kolkata,Banglore,9:35:00,9:45:00,1450,1,No Info,12692
Jet Airways,5/1/2019,Kolkata,Banglore,16:30:00,10:05:00,1055,1,In-flight meal not included,8586
Goair,6/21/2019,Banglore,Delhi,20:55:00,23:40:00,165,0,No Info,3898
Air India,5/21/2019,Delhi,Cochin,5:10:00,8:00:00,170,0,No Info,6094
Jet Airways,6/3/2019,Delhi,Cochin,11:00:00,14:15:00,195,0,In-flight meal not included,7202
Jet Airways,5/18/2019,Kolkata,Banglore,20:25:00,22:05:00,1540,1,No Info,14151
Jet Airways,3/21/2019,Banglore,New Delhi,9:45:00,15:55:00,370,1,In-flight meal not included,7280
Jet Airways,6/9/2019,Delhi,Cochin,20:55:00,4:25:00,450,1,No Info,14924
Multiple Carriers,5/18/2019,Delhi,Cochin,13:00:00,21:00:00,480,1,No Info,9385
Multiple Carriers,5/15/2019,Delhi,Cochin,13:05:00,22:30:00,565,1,No Info,9646
Jet Airways,5/18/2019,Kolkata,Banglore,16:30:00,12:00:00,1170,1,In-flight meal not included,10844
Jet Airways,4/9/2019,Banglore,Delhi,6:00:00,8:45:00,165,0,In-flight meal not included,4544
Multiple Carriers,6/3/2019,Delhi,Cochin,17:45:00,1:30:00,465,1,No Info,7530
Air India,3/24/2019,Kolkata,Banglore,20:30:00,8:55:00,745,1,No Info,12173
Jet Airways,6/24/2019,Delhi,Cochin,9:40:00,12:35:00,1615,2,In-flight meal not included,10368
Air India,6/15/2019,Banglore,Delhi,10:00:00,12:45:00,165,0,No Info,6961
Multiple Carriers,3/3/2019,Delhi,Cochin,7:00:00,21:00:00,840,1,No Info,15603
Jet Airways,6/1/2019,Delhi,Cochin,11:30:00,19:00:00,450,1,No Info,14714
Spicejet,3/24/2019,Banglore,New Delhi,9:35:00,12:30:00,175,0,No Info,6309
Vistara,5/27/2019,Banglore,Delhi,19:30:00,22:15:00,165,0,No Info,4878
Jet Airways,3/3/2019,Delhi,Cochin,5:25:00,18:50:00,805,2,No Info,18799
Indigo,6/3/2019,Banglore,Delhi,21:15:00,0:15:00,180,0,No Info,3943
Jet Airways,3/21/2019,Delhi,Cochin,18:15:00,4:25:00,610,1,In-flight meal not included,5963
Jet Airways,5/12/2019,Kolkata,Banglore,17:00:00,14:25:00,1285,1,No Info,13067
Indigo,6/9/2019,Banglore,Delhi,0:25:00,3:15:00,170,0,No Info,3943
Indigo,5/3/2019,Chennai,Kolkata,14:45:00,17:05:00,140,0,No Info,3858
Jet Airways,6/15/2019,Delhi,Cochin,11:30:00,19:00:00,450,1,In-flight meal not included,10262
Jet Airways,5/6/2019,Kolkata,Banglore,18:55:00,8:15:00,800,1,In-flight meal not included,7757
Air India,6/9/2019,Mumbai,Hyderabad,21:05:00,22:25:00,80,0,No Info,3100
Jet Airways,3/6/2019,Banglore,New Delhi,9:45:00,14:25:00,280,1,No Info,16757
Air India,6/1/2019,Delhi,Cochin,22:00:00,19:15:00,1275,2,No Info,10441
Multiple Carriers,5/21/2019,Delhi,Cochin,11:40:00,21:00:00,560,1,No Info,7485
Jet Airways,5/21/2019,Delhi,Cochin,21:50:00,19:00:00,1270,1,In-flight meal not included,12898
Air India,5/12/2019,Kolkata,Banglore,9:25:00,13:45:00,1700,2,No Info,12592
Air India,5/9/2019,Delhi,Cochin,9:00:00,19:15:00,615,1,No Info,8372
Jet Airways,3/18/2019,Banglore,New Delhi,8:00:00,15:15:00,435,1,No Info,12284
Jet Airways,6/6/2019,Delhi,Cochin,9:25:00,4:25:00,1140,2,No Info,13882
Indigo,4/27/2019,Delhi,Cochin,7:35:00,12:10:00,275,1,No Info,5073
Jet Airways,5/15/2019,Kolkata,Banglore,20:00:00,8:15:00,735,1,In-flight meal not included,8586
Multiple Carriers,3/21/2019,Delhi,Cochin,13:00:00,1:35:00,755,1,No Info,8098
Jet Airways,6/18/2019,Banglore,Delhi,6:00:00,8:45:00,165,0,In-flight meal not included,6478
Jet Airways,3/12/2019,Banglore,New Delhi,22:55:00,13:15:00,860,1,In-flight meal not included,11087
Jet Airways,5/15/2019,Kolkata,Banglore,9:35:00,10:55:00,1520,1,No Info,14151
Indigo,6/9/2019,Kolkata,Banglore,19:20:00,23:45:00,265,1,No Info,4205
Jet Airways,5/15/2019,Banglore,Delhi,8:20:00,11:20:00,180,0,In-flight meal not included,4030
Indigo,4/24/2019,Kolkata,Banglore,20:20:00,22:55:00,155,0,No Info,4804
Jet Airways,5/9/2019,Delhi,Cochin,19:30:00,12:35:00,1025,2,In-flight meal not included,13029
Air India,5/15/2019,Banglore,Delhi,21:05:00,23:55:00,170,0,No Info,5228
Indigo,6/24/2019,Delhi,Cochin,5:10:00,10:05:00,295,1,No Info,6496
Indigo,4/1/2019,Kolkata,Banglore,20:20:00,22:55:00,155,0,No Info,4488
Air India,5/9/2019,Kolkata,Banglore,16:50:00,7:55:00,905,1,No Info,8366
Multiple Carriers,6/6/2019,Delhi,Cochin,10:00:00,1:30:00,930,1,No Info,7723
Jet Airways,3/24/2019,Kolkata,Banglore,8:25:00,16:20:00,475,1,No Info,13759
Vistara,5/18/2019,Delhi,Cochin,14:40:00,17:50:00,190,0,No Info,6741
Jet Airways,3/3/2019,Delhi,Cochin,23:05:00,18:50:00,1185,1,No Info,18253
Spicejet,5/9/2019,Mumbai,Hyderabad,5:45:00,7:15:00,90,0,No check-in baggage included,1965
Air India,3/21/2019,Delhi,Cochin,19:45:00,19:15:00,1410,2,No Info,8236
Spicejet,4/15/2019,Banglore,Delhi,9:30:00,12:20:00,170,0,No check-in baggage included,4319
Multiple Carriers,6/6/2019,Delhi,Cochin,11:30:00,1:30:00,840,1,No Info,13377
Air India,5/12/2019,Kolkata,Banglore,10:00:00,1:20:00,920,2,No Info,13243
Air Asia,5/27/2019,Banglore,Delhi,11:10:00,13:55:00,165,0,No Info,3383
Jet Airways,3/24/2019,Kolkata,Banglore,21:10:00,22:35:00,1525,1,In-flight meal not included,10031
Multiple Carriers,3/6/2019,Delhi,Cochin,15:05:00,1:35:00,630,2,No Info,21483
Jet Airways,5/6/2019,Kolkata,Banglore,16:30:00,4:40:00,730,1,No Info,13941
Air Asia,4/12/2019,Banglore,Delhi,4:55:00,7:45:00,170,0,No Info,4282
Jet Airways,5/9/2019,Kolkata,Banglore,9:35:00,21:05:00,690,1,No Info,13067
Indigo,5/15/2019,Banglore,Delhi,6:05:00,8:50:00,165,0,No Info,4423
Multiple Carriers,5/15/2019,Delhi,Cochin,8:45:00,21:00:00,735,1,No Info,7670
Jet Airways,5/21/2019,Kolkata,Banglore,20:00:00,12:00:00,960,1,In-flight meal not included,10844
